Unranked,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus,Species,Species Extra Info
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Oliveros mammarenavirus,Oliveros mammarenavirus (6 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Paraguayan mammarenavirus,Paraguayan mammarenavirus (1 Strain - 2 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Pirital mammarenavirus,Pirital mammarenavirus (62 Strains - 13 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Ryukyu mammarenavirus,Ryukyu mammarenavirus (1 Strain - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Serra do Navio mammarenavirus,Serra do Navio mammarenavirus (1 Strain - 2 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Solwezi mammarenavirus,Solwezi mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Souris mammarenavirus,Souris mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Tacaribe mammarenavirus,Tacaribe mammarenavirus (17 Strains - 13 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Tamiami mammarenavirus,Tamiami mammarenavirus (8 Strains - 9 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Unclassified Mammarenavirus,Unclassified Mammarenavirus (44 Strains - 20 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Wenzhou mammarenavirus,Wenzhou mammarenavirus (41 Strains - 24 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Whitewater Arroyo mammarenavirus,Whitewater Arroyo mammarenavirus (109 Strains - 20 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Mammarenavirus,Xapuri mammarenavirus,Xapuri mammarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,California reptarenavirus,California reptarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,Giessen reptarenavirus,Giessen reptarenavirus (17 Strains - 14 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,Golden reptarenavirus,Golden reptarenavirus (2 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,Ordinary reptarenavirus,Ordinary reptarenavirus (7 Strains - 3 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,Rotterdam reptarenavirus,Rotterdam reptarenavirus (7 Strains - 4 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Reptarenavirus,Unclassified Reptarenavirus,Unclassified Reptarenavirus (304 Strains - 105 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Unclassified Arenaviridae,synthetic construct,synthetic construct (2 Strains - 2 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Unclassified Arenaviridae,Unclassified Unclassified Arenaviridae,Unclassified Unclassified Arenaviridae (112 Strains - 11 complete segments)
Virus,Riboviria,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,NA,Unclassified Arenaviridae,unknown,unknown (177 Strains - 86 complete segments)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Bavovirus,Bavaria virus,Bavaria virus (40 Strains - 16 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Bavovirus,Unclassified Bavovirus,Unclassified Bavovirus (3 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Lagovirus,European brown hare syndrome virus,European brown hare syndrome virus (163 Strains - 11 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Lagovirus,Rabbit hemorrhagic disease virus,Rabbit hemorrhagic disease virus (1640 Strains - 184 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Lagovirus,Unclassified Lagovirus,Unclassified Lagovirus (84 Strains - 6 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain HP167-KOR,Calicivirus strain HP167-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA120-KOR,Calicivirus strain MA120-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA129-KOR,Calicivirus strain MA129-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA137-KOR,Calicivirus strain MA137-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA16-KOR,Calicivirus strain MA16-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA164-KOR,Calicivirus strain MA164-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA176-KOR,Calicivirus strain MA176-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA216-KOR,Calicivirus strain MA216-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA236-KOR,Calicivirus strain MA236-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA360-KOR,Calicivirus strain MA360-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA56-KOR,Calicivirus strain MA56-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA91-KOR,Calicivirus strain MA91-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA95-KOR,Calicivirus strain MA95-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain MA99-KOR,Calicivirus strain MA99-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain SA181-KOR,Calicivirus strain SA181-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Calicivirus strain SA68-KOR,Calicivirus strain SA68-KOR (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,recombinant virus 6918VP60-T2,recombinant virus 6918VP60-T2 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,Unclassified Unclassified Caliciviridae,Unclassified Unclassified Caliciviridae (167 Strains - 49 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Unclassified Caliciviridae,unknown,unknown (26 Strains - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Minovirus,Minovirus A,Minovirus A (1 Strain - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Nacovirus,Nacovirus A,Nacovirus A (2 Strains - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Nebovirus,Newbury 1 virus,Newbury 1 virus (3 Strains - 3 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Nebovirus,Unclassified Nebovirus,Unclassified Nebovirus (191 Strains - 8 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Norovirus,Norwalk virus,Norwalk virus (46319 Strains - 1748 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Norovirus,Unclassified Norovirus,Unclassified Norovirus (423 Strains - 5 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Norovirus,unknown,unknown (246 Strains - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Recovirus,Recovirus A,Recovirus A (2 Strains - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Recovirus,Unclassified Recovirus,Unclassified Recovirus (58 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Salovirus,Nordland virus,Nordland virus (3 Strains - 4 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Sapovirus,Sapovirus environmental sample,Sapovirus environmental sample (4 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Sapovirus,Sapporo virus,Sapporo virus (4345 Strains - 198 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Sapovirus,Unclassified Sapovirus,Unclassified Sapovirus (292 Strains - 11 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Sapovirus,unknown,unknown (29 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Vesivirus,Feline calicivirus,Feline calicivirus (1178 Strains - 59 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Vesivirus,Unclassified Vesivirus,Unclassified Vesivirus (33 Strains - 23 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Vesivirus,unknown,unknown (5 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,NA,Vesivirus,Vesicular exanthema of swine virus,Vesicular exanthema of swine virus (105 Strains - 9 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Coronavirinae,Unclassified Coronaviridae,Bat coronavirus 512,Bat coronavirus 512 (30 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,,,Equine coronavirus CH21,Equine coronavirus CH21 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Letovirinae,Unclassified Coronaviridae,Murray-Darling carp letovirus,Murray-Darling carp letovirus (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,NA,Unclassified Coronaviridae,Unclassified Unclassified Coronaviridae,Unclassified Unclassified Coronaviridae (222 Strains - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,NA,,unknown,unknown (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus 1,Alphacoronavirus 1 (3763 Strains - 155 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206645-41/2011 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/206679-3/2010 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015,Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015 (1 Strain - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus L232,Alphacoronavirus L232 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus Mink/China/1/2016,Alphacoronavirus Mink/China/1/2016 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus PLMg1,Alphacoronavirus PLMg1 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus sp.,Alphacoronavirus sp. (205 Strains - 56 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus Trinidad/1FY2BA/2007,Alphacoronavirus Trinidad/1FY2BA/2007 (11 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus TT-2016a,Alphacoronavirus TT-2016a (5 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus UKMa1,Alphacoronavirus UKMa1 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Alphacoronavirus UKRn3,Alphacoronavirus UKRn3 (1 Strain - 1 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat alphacoronavirus,Bat alphacoronavirus (173 Strains - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat alphacoronavirus/UF-FWC/2016/3,Bat alphacoronavirus/UF-FWC/2016/3 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus 1,Bat coronavirus 1 (175 Strains - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus A977/A970,Bat coronavirus A977/A970 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Art.lit/1816/BRA/2010,Bat coronavirus Art.lit/1816/BRA/2010 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Art.lit/2294/BRA/2012,Bat coronavirus Art.lit/2294/BRA/2012 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Car.per/1514/BRA/2011,Bat coronavirus Car.per/1514/BRA/2011 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Car.per/1516/BRA/2011,Bat coronavirus Car.per/1516/BRA/2011 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Car.per/1599/BRA/2012,Bat coronavirus Car.per/1599/BRA/2012 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus CDPHE15,Bat coronavirus CDPHE15 (2 Strains - 2 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Glo.sor/100/BRA/2014,Bat coronavirus Glo.sor/100/BRA/2014 (1 Strain - 0 complete genomes)
Virus,Riboviria,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Orthocoronavirinae,Alphacoronavirus,Bat coronavirus Mol.ruf/63/BRA/2014,Bat coronavirus Mol.ruf/63/BRA/2014 (1 Strain - 0 complete genomes)
